s34-000001	Svefn og vellíðan verður betri með hverjum degi ferðarinnar.	t014856	svefn og vellíðan verður betri með hverjum degi ferðarinnar
s34-000002	Ég kem við í Söebechsverslun, kaupi kleinu og sítrónusvala.	t002947	ég kem við í söebechsverslun kaupi kleinu og sítrónusvala
s34-000003	Verkafólk þyrpist á staðinn til að taka þátt í olíuæðinu og yfirvöldum finnst nóg um.	t016239	verkafólk þyrpist á staðinn til að taka þátt í olíuæðinu og yfirvöldum finnst nóg um
s34-000004	í sýninu má sjá margt, til að mynda fjölgun á amöbunum.	t009406	í sýninu má sjá margt til að mynda fjölgun á amöbunum
s34-000005	Hefur þú heyrt af honum Hirti Hilariussyni sem gæddi sér oft á hnoðningunum mínum?	t007214	hefur þú heyrt af honum hirti hilariussyni sem gæddi sér oft á hnoðningunum mínum
s34-000006	Og hvað stóð káið fyrir?	t012279	og hvað stóð káið fyrir
s34-000007	Ég varð feiminn og blygðaðist mín en Mumma skipaði mér að fara að þvo mér og ég þorði ekki annað.	t003309	ég varð feiminn og blygðaðist mín en mumma skipaði mér að fara að þvo mér og ég þorði ekki annað
s34-000008	Já, ég var sko öfunduð af þessari góðu ömmu á þessum árum.	t009512	já ég var sko öfunduð af þessari góðu ömmu á þessum árum
s34-000009	Og tíminn lengi að líða.	t012401	og tíminn lengi að líða
s34-000010	Gífurlega umfangsmikil fræði eru því til um rittengsl á milli sagnanna, en ástæðulaust er að rekja þau hér.	t005909	gífurlega umfangsmikil fræði eru því til um rittengsl á milli sagnanna en ástæðulaust er að rekja þau hér
s34-000011	Óheft innstreymi á erlendu lánsfé til banka stöðvaðist.	t012547	óheft innstreymi á erlendu lánsfé til banka stöðvaðist
s34-000012	Ég held að hið hefðbundna íslenska fjölskyldubú þurfi ekki að kvíða þeim skrefum.	t002761	ég held að hið hefðbundna íslenska fjölskyldubú þurfi ekki að kvíða þeim skrefum
s34-000013	Textar Ólafs í þessum fjögurra platna bálki innihalda jafnan glettnar athugasemdir um nútímasamfélagið.	t015231	textar ólafs í þessum fjögurra platna bálki innihalda jafnan glettnar athugasemdir um nútímasamfélagið
s34-000014	Kaffiveitingar verða í safnaðarsal að loknum tónleikunum í boði Lögreglukórsins.	t009769	kaffiveitingar verða í safnaðarsal að loknum tónleikunum í boði lögreglukórsins
s34-000015	Prinsarnir Nikolaj og Felix voru einnig viðstaddir að ógleymdri konungsfjölskyldunni dönsku.	t012945	prinsarnir nikolaj og felix voru einnig viðstaddir að ógleymdri konungsfjölskyldunni dönsku
s34-000016	Í framhaldinu var ákveðið að vísa Bjarka úr skólanum.	t009019	í framhaldinu var ákveðið að vísa bjarka úr skólanum
s34-000017	Samtalinu lauk með því að Jóhann gaf Birki upp heimilisfang sitt og kvaddi.	t013475	samtalinu lauk með því að jóhann gaf birki upp heimilisfang sitt og kvaddi
s34-000018	Í Hallanda stóð heimili Emmu og þorsteins Gunnarssonar sem var valmenni.	t009069	í hallanda stóð heimili emmu og þorsteins gunnarssonar sem var valmenni
s34-000019	Tanya var spurð hvaða hreyfing hentaði.	t015181	tanya var spurð hvaða hreyfing hentaði
s34-000020	Ég fæ pottþétt alltaf nóg að borða.	t002529	ég fæ pottþétt alltaf nóg að borða
s34-000021	Þessu til stuðnings bendir hún á þróun barnasálfræði og þýðingu foreldrahlutverksins.	t020513	þessu til stuðnings bendir hún á þróun barnasálfræði og þýðingu foreldrahlutverksins
