utterance, prediction, true label
Evaluate stance regarding fóstureyðing. Snippet: Konur hafa vaxið fram úr hinum almenna húsmóðurfordómum fyrir löngu #SemST, none, none
Evaluate stance regarding trúleysi. Snippet: Ég er Baloch og ég mun ekki leyfa talíbanavæðingu í Balochistan ... #talibanar #öfgastefna #SemST, favor, against
Evaluate stance regarding femínisti. Snippet: Lol femínistar kvarta ekki yfir því hvernig karlmenn fá minna fataval í verslunum. (Þegar þeir segja þarna fyrir jafnrétti kynjanna) #SemST, against, against
Evaluate stance regarding hillary. Snippet: ÉG BLÁÐAÐI 2 frjálslyndum í dag!..Mjög góður fimmtudagur! #GODBLESSTHEUSA #HardCoreAmericanConservative #2A #NRA #ArticleV #NoMoreBushes #SemST, against, against
Evaluate stance regarding loftslag. Snippet: #kolefnisviðskiptin í #Quebec eru með mjög metnaðarfullt markmið til að draga úr gróðurhúsalofttegundum um 20% #nspoli #SemST, favor, favor
Evaluate stance regarding loftslag. Snippet: Ef við snertum #Suðurskautslandið af einni #ástæðu í viðbót en að #rannsaka #áhrif okkar værum við #geðveik! #Lýðræði #Markmið? #SemST, none, favor
Evaluate stance regarding hillary. Snippet: Heyrðirðu svarið sem Hillary gaf blaðamanni þegar þeir spurðu spurningar?!? Ekki ég heldur. #SemST, against, against
Evaluate stance regarding hillary. Snippet: @notandi @notandi vonast til að sjá hana í NC fljótlega #SemST, favor, favor
Evaluate stance regarding hillary. Snippet: @notandi Við skulum vona að herferð hennar leysist upp fyrir desember. Við getum ekki haft þennan lygara sem næsta forseta. #SemST, against, against
Evaluate stance regarding trúleysi. Snippet: Hversu fljótt heldurðu að WWIII &amp;WWIV hefjist? #U9tedWeStand #EndRacism #EndReligion #EndSexism #EndMisogyny #LoveYourNeighbor #SemST, favor, favor
Evaluate stance regarding trúleysi. Snippet: Hverjum er ekki sama hvort þessi manneskja eða þessi manneskja sé xtian eða trúleysingi. Polpott, Hitler eða Maó. Guð er enn ekki til. #SemST, favor, against
Evaluate stance regarding fóstureyðing. Snippet: @notandi þessar fátæku sálir verða ekki neitt í framtíðinni @notandi hvatti konur til að myrða börn. #BlackLivesMatter #SemST, against, against
Evaluate stance regarding trúleysi. Snippet: Óvinurinn er ekki #múslimar #kristnir eða #gyðingdómur. Hinn raunverulegi óvinur er ÖFGI. Menn að drepa menn. #RespectBeliefs #StopWar #SemST, none, against
Evaluate stance regarding hillary. Snippet: „Hilary er ekki kjörgengur“ þá hefurðu enga möguleika @notandi #carnivalbarker #SemST, against, against
Evaluate stance regarding femínisti. Snippet: Annað fólk kann að hata #feminista, en það hatar allavega ekki hitt kynið. #feministi #kynlífshyggja #SemST, favor, against
Evaluate stance regarding loftslag. Snippet: #Fylgdu @user leiðtoga Bandaríkjanna í veður #áhættustjórnun. Að hjálpa #hagkerfi heimsins að laga sig að loftslagsbreytingum. #SemST, favor, favor
Evaluate stance regarding trúleysi. Snippet: Sérhvert líf er trúarjátning og hefur óumflýjanleg og þögul áhrif. ~Henri Frederic Amiel #SemST, against, against
Evaluate stance regarding trúleysi. Snippet: þegar þú færð verðlaun fyrir hálfa eininguna þína en byrjaðir að læra daginn áður fyrir hverja vegna skota. Þakka þér faðir!!! #SemST, none, none
Evaluate stance regarding femínisti. Snippet: Inb4 femínistar halda að það sé kynferðislegt að King spilið sé betra en Queen spilið og þeir reyna að breyta reglum um spil #SemST, against, against
Evaluate stance regarding femínisti. Snippet: @notandi þarf það örugglega bæði að vera hlið við hlið? Það lítur út fyrir að konan sé nú fyrir framan. Var það ekki það sem þú hafðir áhyggjur af? #SemST, none, against
Evaluate stance regarding trúleysi. Snippet: Þessi ritningarvers sem frænka sendi mér var bara töff!!!! #SemST, none, against
Evaluate stance regarding fóstureyðing. Snippet: #TruthTour okkar áfram í @notandanum þar sem við sýnum mannúð ófæddra og ómennsku fóstureyðinga! #cdnpoli #Ottawa #onpoli #SemST, against, against
Evaluate stance regarding femínisti. Snippet: TIL HAMINGJU MEÐ AFMÆLIÐ EINN AF UPPÁLS FÓLKINNI MÍN SEM HEFUR FRÁBÆRT ÚTSÝNING OG ER HÆSTARÉTTUR SÆTTA ÉG ELSKA ÞIG @user #SemST, none, none
Evaluate stance regarding fóstureyðing. Snippet: @notandi og eingöngu líkamleg ánægja án ábyrgðar sem fylgir #SemST, none, none
Evaluate stance regarding loftslag. Snippet: Afneitarar loftslagsbreytinga eru eins og forsögulegir hellabúar: Jerry Brown ríkisstjóri Kaliforníu #CSOTA #uspoli #cdnpoli #SemST, favor, favor
Evaluate stance regarding fóstureyðing. Snippet: Já, við skulum láta konu þjást 18 ára og ala upp barn með óhæfu foreldri sem hatar það vegna &quot;siðferðis&quot;. #SemST, against, favor
Evaluate stance regarding hillary. Snippet: Það truflar mig þegar sumir leitast við að ógilda miðlæga demókrata. Ég vil frekar stærra tjald. #SemST, favor, none
Evaluate stance regarding fóstureyðing. Snippet: Við lýsum því yfir að allt fólk hafi gildi og gildi jafnvel þótt allur heimurinn kalli þá „óæskilega“! #SemST, against, against
Evaluate stance regarding trúleysi. Snippet: Blessaðu þá sem eru með brotna sál #SemST, none, against
Evaluate stance regarding fóstureyðing. Snippet: Var á fyrirhuguðum foreldramótmælum í #fitchburg í dag með myndinni af Our Lady of America #kaþólsku #SemST, none, against
Evaluate stance regarding fóstureyðing. Snippet: @notandi @notandi Margret Sangers Er svolítið gróft!!!! #SemST, none, none
Evaluate stance regarding femínisti. Snippet: Stundum líður manni bara eins og að kýla femínista í andlitið #SemST, against, against
Evaluate stance regarding hillary. Snippet: Hæ!!! Ef einhver vill hjálpa til við Hillary búðirnar á Charlotte pride, látið mig vita!!! #nc #stolt #lgbt #SemST, favor, favor
Evaluate stance regarding loftslag. Snippet: #Verkefni:#Climate @ home &gt; Farðu í sturtu í stað baðs #Ábending #LoveOurPlanet #SemST, favor, favor
Evaluate stance regarding fóstureyðing. Snippet: @user @user Ég fylgdist með honum áður en ég horfði á Human Centipede 3.....ég vona nú að ég geri aldrei aðra mynd aftur #SemST, none, none
Evaluate stance regarding fóstureyðing. Snippet: Þannig að lög gegn vali segja þessum konum að þær séu óhæfar og ættu ekki að taka ákvarðanir sem varða þeirra eigin líkama. #SemST, favor, favor
