utterance,label
ágætlega spennandi. smá lengi af stað  vantaði smá ryþmakeyrslu. stundum vantaði smá upp á handritið. alicia vikander var ágætlega töff.,negative
að vissu leyti ekta disneyjerry bruckheimer blockbuster. ágætis afþreying með dash af kjánalegum atriðum.,negative
svo klisjukennt og fyrirsjáanlegt. lélegtskrýtið handrit. kjánaleg mynd. en stundum er gaman að horfa á lélegar myndir. netflix,negative
mjög hæg mynd. arty  eða svona indieminimal... fjallar um ira gaura í fangelsi  sem fara svo í hungurverkfall. nokkuð áhugaverð... nokkrar langar tökur sem voru frekar impressive.,negative
"mjög kjánaleg mynd, eins og við mátti búast  bull  vitleysa. en fyndin á köflum.",negative
"mjög góð mynd. gott action, og nóg af því. mjög spennandi. mjög vel gerð kvikmynd  enda mikið af stórum nöfnum bakvið hana framleiðendur, leikstjóri, leikarar, handritshöfundar.... gott fjör. afþreying í toppklassa.",positive
skemmtileg mynd. hugljúf. áhugaverð saga og sniðugar tengingar við samfélagsmiðla. road trip hlutinn var einna skemmtilegastur.,positive
"mjög kúl mynd  leit vel út; umhverfið, áferðin, litirnir... kúl effectar, crank gaurarnir klikka ekki  öll helstu trickin sem maður kannast við hjá þeim; hraðar klippingar, funky sjónarhorn... var alveg að virka, mér fannst það alla vega ekki of mikið. efnislega er hún ekki upp á marga fiska  handritið ekkert alltof bitastætt. en þetta er fínasta afþreying. líka áhugaverð framtíðar pæling  tækni, siðferði og svona... gott action, nóg af kúl byssubardögum, sprengingum og þessu helsta. slatti af þekktum leikurum. michael c. hall aka dexter smellpassar sem svona siðferðislaus gaur.",positive
stútfullt af góðum leikurum. mikið af grófu ofbeldi. maður hefur alveg séð rómantískari myndir ;,positive
"gott action. nóg af ofbeldi. blóðugu ofbeldi. fín spenna. töff persónur. kúl mynd, en ekkert meistaraverk.",positive
