utterance, prediction, true label
Infer sentiment regarding the aspect: árgangar. Snippet: Nokkuð vonbrigði vínlisti (aðeins nýir árgangar., negative, negative
Infer sentiment regarding the aspect: sushi/sashimi. Snippet: Maturinn er í alla staði góður, rúllurnar yfirleitt frábærar og sushi/sashimi ekki alveg á sama stigi., neutral, neutral
Infer sentiment regarding the aspect: photoshop. Snippet: Mig vantaði fartölvu með stóru geymsluplássi, flottum skjá og hraðvirkum svo ég get photoshoppað án vandræða., positive, neutral
Infer sentiment regarding the aspect: núðluréttir. Snippet: hrísgrjónaréttir og núðluréttir fara sjaldan yfir $5 og bættu við hressandi ísdrykk fyrir $2 og þú ert klár í kvöldið!, positive, positive
Infer sentiment regarding the aspect: Tækniaðstoð Apple. Snippet: Mér skilst að ég ætti að hringja í tækniþjónustu Apple varðandi allar breytur (sem er tilgangur minn með að skrifa þessa galla) þar sem breytur gætu verið stærra framtíðarvandamál., positive, neutral
Infer sentiment regarding the aspect: afgreiðslufólk. Snippet: Ég var sérstaklega hrifinn í afmælisveislunni þegar þjónustufólkið lagði sig fram um að aðstoða mig við að skreyta og koma út afmælisköku ásamt því að bjóða upp á skjóta og vinalega þjónustu við 15 manna veislu., positive, positive
Infer sentiment regarding the aspect: þunn skorpa. Snippet: Sömuleiðis ef þér líkar við mjög þunna skorpu eða mjög stórar sneiðar, þá er Nick og Joe kannski ekki í uppáhaldi hjá þér., negative, negative
Infer sentiment regarding the aspect: Aðalréttir. Snippet: Pizzur voru frábærar auk forrétta og aðalrétta., positive, positive
Infer sentiment regarding the aspect: hveitiskorpupizzu. Snippet: Þeir eru með hveitiskorpupizzu úr mjög fersku og ljúffengu hráefni., positive, positive
Infer sentiment regarding the aspect: ytri hljóðnema. Snippet: þessi Mac Mini er ekki með innbyggðan hljóðnema og svo virðist sem Mac OS 10.9 hans höndli ekki ytri hljóðnema almennilega., negative, neutral
Infer sentiment regarding the aspect: portabella lasagna. Snippet: “ Á matseðlinum eru kráarréttir - hamborgarar, steikur og smalabaka - og jafnvel portabella lasagna fyrir þá svörtu sauði sem kallast &quot;grænmetisætur&quot;., positive, neutral
Infer sentiment regarding the aspect: innbyggð myndavél. Snippet: Með því að nota innbyggðu myndavélina hljómar raddupptakan mín fyrir myndbandsbloggið mitt eins og útsendingar milli pláneta í &quot;Star Wars&quot; sögunni., positive, neutral
Infer sentiment regarding the aspect: hafnir. Snippet: Önnur tengi eru FireWire 800, Gigabit Ethernet, MagSafe tengi, hljóðnematengi., positive, neutral
Infer sentiment regarding the aspect: fylgist með. Snippet: Ég prófaði nokkra skjái og nokkrar HDMI snúrur og þetta var raunin í hvert skipti., neutral, neutral
Infer sentiment regarding the aspect: borið fram. Snippet: Ég kom að ferskum og bjóst við frábærri máltíð og allt sem ég fékk var lítillega svo-svo matur framreiddur á veitingastað sem var bara svo ískalt að við gátum ekki notið þess að borða., negative, neutral
Infer sentiment regarding the aspect: steikur. Snippet: “ Á matseðlinum eru kráarréttir - hamborgarar, steikur og smalabaka - og jafnvel portabella lasagna fyrir þá svörtu sauði sem kallast &quot;grænmetisætur&quot;., positive, neutral
Infer sentiment regarding the aspect: pökkun. Snippet: pökkun og allt var fullkomið, positive, positive
Infer sentiment regarding the aspect: þjónustustúlka. Snippet: Þegar hún kvartaði sagði afgreiðslustúlkan: Fyrirgefðu., positive, neutral
Infer sentiment regarding the aspect: sjónhimnuskjár. Snippet: Ég hef ekki prófað þann með sjónhimnuskjá... Kannski í framtíðinni., neutral, neutral
Infer sentiment regarding the aspect: Vifta. Snippet: Vifta kviknar aðeins þegar þú ert að spila leik., positive, neutral
Infer sentiment regarding the aspect: hraða. Snippet: Allt frá hraðanum til fjölsnertihreyfingarinnar slær þetta stýrikerfi auðveldlega við Windows., positive, positive
Infer sentiment regarding the aspect: Forréttir. Snippet: Forréttir innihalda klassík eins og lasagna, fettuccine Alfredo og kjúklingaparmigiana., positive, neutral
Infer sentiment regarding the aspect: 16Gb vinnsluminni. Snippet: Ég hef sett upp auka SSD og 16Gb vinnsluminni., positive, neutral
Infer sentiment regarding the aspect: borið fram. Snippet: Það tók um 2 1/2 tíma að fá 2 réttina okkar framreidda., positive, negative
Infer sentiment regarding the aspect: minni. Snippet: Ég bætti við SSD drifi og minni, positive, neutral
Infer sentiment regarding the aspect: 21&quot; LED skjár. Snippet: Settu SSD og notaðu 21&quot; LED skjá, þessi uppsetning er silkimjúk!, positive, neutral
Infer sentiment regarding the aspect: reikning. Snippet: 15% þjórfé bætt sjálfkrafa við reikninginn., positive, negative
Infer sentiment regarding the aspect: verð. Snippet: Fyrir verðið sem þú borgar fyrir matinn hér, þá myndirðu búast við að hann væri að minnsta kosti á pari við aðra japanska veitingastaði., positive, negative
Infer sentiment regarding the aspect: vegan trönuberjapönnukökur. Snippet: Ég kíkti við í brunch í dag og fékk mér vegan trönuberjapönnukökur og hrísgrjónamjólk., positive, neutral
Infer sentiment regarding the aspect: gluggar. Snippet: Ég hafði smá áhyggjur í fyrstu því ég hef ekki mikla reynslu af os.x og windows hefur alltaf verið mér annað eðli eftir margra ára notkun windows., positive, positive
Infer sentiment regarding the aspect: staður. Snippet: Herbergið er svolítið látlaust, en það er erfitt að gera svona lítinn stað spennandi og ég myndi ekki stinga upp á því sem ástæðu til að fara ekki., neutral, negative
Infer sentiment regarding the aspect: raddupptöku. Snippet: Með því að nota innbyggðu myndavélina hljómar raddupptakan mín fyrir myndbandsbloggið mitt eins og útsendingar milli pláneta í &quot;Star Wars&quot; sögunni., positive, negative
Infer sentiment regarding the aspect: HDMI snúru. Snippet: MAC Mini, þráðlaust lyklaborð / mús og HDMI snúru er allt sem ég þarf til að fá alvöru vinnu., positive, neutral
Infer sentiment regarding the aspect: vín. Snippet: Maturinn er ekki bara ekta heldur er starfsfólkið hér nánast utan báts, það er ungt og hippið og veit hvað það er að gera þegar kemur að mat og víni., positive, positive
Infer sentiment regarding the aspect: bíður. Snippet: Eftir að hafa beðið í næstum klukkutíma sagði þjónninn okkur snögglega að hann hefði gleymt að panta eldhúsið okkar., neutral, negative
Infer sentiment regarding the aspect: hádegismatur. Snippet: Það er aðeins opið í hádeginu en maturinn er svo góður!, positive, neutral
Infer sentiment regarding the aspect: Skrifstofa. Snippet: (en Office er hægt að kaupa) EF mig vantar einhvern tíma fartölvu aftur er ég örugglega að kaupa aðra Toshiba!!, positive, neutral
Infer sentiment regarding the aspect: endurheimtar USB stafur. Snippet: Ég bjó líka til endurheimtar USB-lyki., positive, neutral
Infer sentiment regarding the aspect: borð. Snippet: svo gerði hún læti um að geta ekki bætt við 1 eða 2 stólum á hvorum enda borðsins fyrir fleiri fólk., negative, neutral
Infer sentiment regarding the aspect: Amazin&#39; Greens salöt. Snippet: Búðu til máltíð með hliðarpöntunum eins og Amazin&#39; Greens salötum, Buffalo Chicken Kickers og Cinna Stix., positive, neutral
Infer sentiment regarding the aspect: ÞÚ. Snippet: Eftir að hafa verið að fikta í stýrikerfinu fór ég að leita á netinu að lagfæringu og fann fjölda spjallborða um að laga málið., positive, negative
Infer sentiment regarding the aspect: salöt. Snippet: Dieters halda sig við salöt eða láta undan grænmetisréttum., positive, positive
Infer sentiment regarding the aspect: kringlótt hornborð við hlið stóra gluggans. Snippet: Biðjið um hringborðið við hliðina á stóra glugganum., neutral, positive
Infer sentiment regarding the aspect: staður. Snippet: Hins vegar er bara eitthvað svo frábært við að vera utandyra, í frábæru landmótun, njóta afslappaðs drykkjar sem gerir það þess virði að fara á þennan stað., positive, positive
Infer sentiment regarding the aspect: skraut. Snippet: Innréttingarnar eru hannaðar á nútímalegum veitingastað í japönskum stíl., neutral, neutral
Infer sentiment regarding the aspect: iPhoto. Snippet: Kom með iPhoto og bílskúrshljómsveit þegar hlaðin., positive, neutral
Infer sentiment regarding the aspect: MacOS. Snippet: KANNSKI voru Mac OS endurbæturnar ekki varan sem þeir vilja bjóða., negative, negative
Infer sentiment regarding the aspect: ÞÚ. Snippet: Ég hef verið tölvunotandi í mjög langan tíma núna en ég mun venjast þessu nýja stýrikerfi., neutral, neutral
Infer sentiment regarding the aspect: Indverskur matur. Snippet: Fyrir einhvern sem áður hataði indverskan mat hefur Baluchi&#39;s breytt miðjunni hjá mér., positive, positive
Infer sentiment regarding the aspect: kvöldmatur. Snippet: Borðaði kvöldverð hér á föstudegi og maturinn var frábær., positive, neutral
Infer sentiment regarding the aspect: mat. Snippet: Satay er einn af þessum uppáhalds stöðum í Washington þar sem þjónustan og maturinn er alltaf á peningunum., positive, positive
Infer sentiment regarding the aspect: Acer stuðningur. Snippet: Þegar ég spjallaði við stuðning Acer var mér bent á að vandamálið væri skemmdar stýrikerfisskrár., neutral, neutral
