news_id,quote
20242602000,"Þær eru að gera sig klárar. Þið vitið hvernig konur eru, hanga og mála sig."
20242602009,"Það sem á sér stað núna er ekki eðlilegt og það grefur undan tiltrú almennings á ákvörðunum réttarins, þar á meðal þeirra sem snúast um einstaklingsfrelsi. Við stöndum núna í skarðinu,"
20242602019,"Ég sinni ekki samningaviðræðunum og veit ekki stöðuna á því. Það myndi vissulega gleðja mig að fá tvo uppalda KR-inga og hörkuflotta stráka hingað,"
20242602040,"Ég valdi götuna frekar en heimilið, af því að aðstæður þar voru svo slæmar. Ég bjó við aðstæður þar sem var mikil drykkja og heimilisofbeldi og þess vegna var lítið annað að gera en að vera úti."
20242602040,"Minn heimur var úti á götu og ég fór helst bara heim til að borða og sofa. Á götunni var ég samþykktur og þar fannst mér ég eiga mína fjölskyldu. Ég var gæinn sem skipulagði fyrsta innbrotið mitt 10 ára gamall og gerði það með bravör. Þegar ég fer inn í unglingsárin er þetta í raun dæmt til að mistakast. Ég var lesblindur og skrifblindur, kom frá slæmu heimili og var kominn í glæpi og óreglu."
20242602040,Ég er 14 ára gamall kominn á síðutogara með gaurum eins og „Élja Grími
20242602040,Ég held að ég hafi ómeðvitað alltaf verið að bjarga sjálfum mér með því að velja mér þessa tegund af vinnu. Ég fann það þegar ég hitti þessa unglinga hvað ég tengdi við þau út af minni fortíð. Ekki síst unglingsdrengi sem áttu erfitt uppdráttar og bjuggu við mikinn óstöðuleika heima fyrir. Þessar týpur af strákum sóttu í mig og ég fann að ég gat haft jákvæð áhrif á þá. Það var enginn skilingur á stöðu þessarra krakka í kerfinu og samfélagið vildi helst bara ekkert af þessu vita.
20242602040,"Hið opinbera vildi ekki vita af þessum vanda og afneitaði honum. Ég tók þess vegna bara af skarið og opnaði Götusmiðjuna, meðferðarúrræði með óskilgreindan tíma fyrir þá sem nýttu sér úrræðið. Eina skilyrðið var að börnin væru undir 18 ára og hafði barnaverndarstofa svokallaða yfirumsjón með milligöngu þeirra ungmenna sem nýttu sér úrræðið."
20242602040,"Tveimur árum eftir meðferð voru 50% ungmennanna í góðum málum, sjálfbær félagslega og fjárhagslega, með vinnu og þak yfir höfuðið."
20242602052,"Við söfnuðum að okkur upplýsingum um þessar laugar og komumst að því að það voru tæplega hundrað. 93 er talan sem við erum að vinna með núna. Við fundum fullt af gömlum ljósmyndum og teikningum og heimildum um þær. Nú erum við að vinna í því að fara og heimsækja þær laugar þar sem voru byggð laugarhús á þessu tímabili sem standa enn þá,"
20242602052,"Að þessu öllu saman verður maður svolítill sundlauganörd, dregur fjölskylduna í allar mögulegar laugar. En Gljúfralaugin er alveg stórbrotin. Maður hefur flotta yfirsýn yfir hana þegar maður kemur að henni og hún er svo fallega staðsett."
20242602052,"Það voru fáar heimildir um hana. Ég fann enga mynd af húsinu og enga teikningu. Þar fundum við dæmigert lítið sundlaugarhús eftir teikningu Bárðar Ísleifssonar. Húsið er við ótrúlega fallegan læk. Þar var kennt sund í læknum og við hittum þarna heimildamann sem sagði okkur að á hverju vori hafi verið hreinsað úr læknum,"
20242602052,"Einfaldleikinn stendur upp og hefur sitt gildi. Það þarf ekki allt að vera flókið til að vera fallegt og þess virði að vernda það,"
20242602106,"Þetta lítur ekkert vel út, við höfum verið að gera fært, en það eru miklar skemmdir og mikil vinna að koma þessu saman aftur,"
20242602106,"Þetta gekk vel eftir að við höfðum náð að loka öllum sárum og skemmdum en það var gríðarleg umferð frá átta til tólf. Einhverjum lá á, hóteleigendur biðu eftir sínu fólki og gestum. Það var mikill þrýstingur en það var líka reynt að gera allt sem hægt var. Í heildina gekk þetta mjög vel."
20242602106,Það er unnið stöðugt að því að koma þessu í lag.
20242602118,Það er óvenjulegt þegar maður flettir upp tjaldveðrinu á Bliku að þá kemur tjaldsvæðið í Reykjavík þar hæst. Ég hef aldrei séð það áður. Og þar á eftir tjaldsvæðið í Selvogi.
20242602118,"Síðan snýst hann í norðaustanátt á laugardag og þá er nú yfirleitt skjól í Eyjum en það gæti mögulega rignt. Svo er fínasta veður á sunnudag, svona í stórum dráttum."
