id,utterance,label
533,Talsmaður eflaust en umskera barnið þitt? Helvítis hræsnari! #umskurður #mannréttindi #SemST,'against'
889,Svo ef kona vinnur sér inn peninga þá er það HÉN að halda?? #kvenkynsmisgrimmd #SemST,'against'
990,#jáallkonur eru #alltaf #óstöðvandi ef þær væla væla væla til að komast leiðar sinnar #likeagirl #GamerGate #HoneyBadger #SemST,'against'
754,Stundum líður manni bara eins og að kýla femínista í andlitið #SemST,'against'
1139,"Komið til mín, allir þér sem eruð þreyttir og hlaðnir, og ég mun veita yður hvíld. - Matt 11:28 #Hvíld #Friður # Ritningin #Biblían #SemST",'against'
949,The Office Cinderella: Þegar kona er talin gefa ekki 100% til vinnu vegna þess að hún kemur og yfirgefur skrifstofuna á réttum tíma. #konur #SemST,'favor'
911,"Frábært að sjá framfarirnar sem við erum öll að taka. Megi það halda áfram, þar til þetta verður úrelt mál. #HeForShe #GirlPower #SemST",'favor'
950,@notandi @notandi ertu að grínast í mér? þannig að þú ert að segja að það réttlæti nauðgun? #nauðgun #smdh #SemST,'favor'
425,Edenhofer: Kolefnisverð er nauðsynlegt en ekki nóg. við þurfum viðbótarstefnu til að vinna gegn #kolendurreisninni og #CFCC15 #SemST,'favor'
371,Við kennum borgum um meirihluta koltvísýringslosunar án þess að viðurkenna varnarleysi þeirra fyrir #CFCC15 #journey2015 #S2228 #SemST,'favor'
942,"Nema þú hafir heilsufars- eða lífeðlisfræðileg vandamál, ættir þú ekki að vera stoltur af of þungum líkama þínum! #heilsa #SemST",'none'
66,Barrack Obama er sama um sinn eigin bæ! Hvar áttu heima? Heldurðu að honum sé sama um þig? #TheFive #NoSanctuaryCities #2A #SemST,'none'
935,"Það eru virkilega dagar þar sem ég skammast mín fyrir að viðurkenna að ég deili genum með sumu fólki, í dag er einn af þessum dögum. #SemST",'none'
682,@notandi Sá bara umsögn þína um @notendabók á Amazon. Ég verð að segja að ég er algjörlega sammála þér. Sjúkt markaðsbrella. #SemST,'none'
83,"Þó að ég sé jafn hrifinn af Bernie og næsta frjálslynda, ef við tilnefnum hann gætum við í raun tapað fyrir einhverjum RWNJ #SemST",'none'
