utterance,label
"Við greiddum og fórum af því við nenntum ekki að rífast lengur.","[('þjónusta almennt', 'NULL', 'rífast', 'negative')]"
"Sósan smakkaðist meira eins og kínverskur skyndibiti en almennilegur kóreskur.","[('matur gæði', 'sósan', 'kínverskur skyndibiti', 'negative')]"
"Og enn ömurlegra vegna þess að það var svo dýrt fyrir svona slæma reynslu.","[('veitingastaður almennt', 'NULL', 'ömurlegra', 'negative'), ('veitingastaður verð', 'NULL', 'dýrt', 'negative')]"
"Þjónustukonan var ekkert að fylgjast með.","[('þjónusta almennt', 'þjónustukonan', 'ekkert að fylgjast með', 'negative')]"
"Háa verðið sem þú borgar er fyrir útsýnið, ekki matinn.","[('veitingastaður verð', 'NULL', 'hátt', 'negative')]"
"Humarinn var fínn, ekkert stórkostlegt.","[('matur gæði', 'humarinn', 'fínn', 'neutral')]"
"Við höfum reynt áður en það er alltaf fullt og það er ekki tekið við pöntunum.","[('veitingastaður mismunandi', 'NULL', 'alltaf fullt', 'neutral')]"
"Maturinn var í lagi.","[('matur gæði', 'Maturinn', 'í lagi', 'neutral')]"
"Humarklærnar (sérréttur dagsins) voru í lagi, en ansi bragðlausar.","[('matur úrval', 'Humarklærnar', 'í lagi', 'neutral'), ('matur gæði', 'Humarklærnar', 'bragðlausar', 'negative')]"
"Villibráðin var góð en ekki frábær.","[('matur gæði', 'villibráðin', 'góð', 'neutral')]"
"En besta svína souvlaki sem ég hef borðað er það helsta.","[('matur gæði', 'svína souvlaki', 'besta', 'positive')]"
"Það var vel þess virði að bíða.","[('veitingastaður almennt', 'NULL', 'þess virði', 'positive')]"
"Mjög ánægð.","[('veitingastaður almennt', 'NULL', 'ánægð', 'positive')]"
"Innréttingin þarf að vera bætt en maturinn er frábær!","[('andrúmsloft almennt', 'Innrétting', 'bætt', 'negative'), ('matur gæði', 'maturinn', 'frábær', 'positive')]"
"Hér er pylsunni breytt í raunverulegan forrétt með fjölmörgum tegundum.","[('matur gæði', 'pylsunni', 'breytt', 'positive'), ('matur úrval', 'pylsunni', 'breytt', 'positive')]"
