utterance,label
"Sem sagt að Magnús Helgi er ekki á móti því að kennitöluflakk sé stundað á Íslandi furðulegt hvernig þú styður viðhorf þitt í þessari leiðindar yðju glæpamanna á Íslandi.
Ef fyrrverandi reglur til að stoppa kennitöluflakk gátu ekki stoppað þessa leiðindar iðju, á þá að gefast upp eða læra af reinsluni og gera reglur sem virka?
Kveðja frá Houston.",Ekki hatursorðræða
"
27.3.2015:""The number of people of working age in Germany will fall by around a third by 2050 if the biggest economy in Europe does not increase immigration from countries outside the European Union, a study published on Friday said.Germany will need between 276,000 and 491,000 net immigrants from non-EU countries each year to safeguard its levels of prosperity and economic activity, said the study by the Bertelsmann foundation.It predicted the working-age population would drop to under 29 million from about 45 million today if immigration did not pick up. Raising the retirement age to 70 and increasing the number of women in the workforce would only add around 4.4 million to the number of employed, the study added.According to latest statistics, the number of foreigners living in Germany grew by 519,340, or 6.8 percent, in 2014 against the previous year -- many of them Syrians fleeing war and Romanians and Bulgarians seeking work.""Germany needs more immigration from non-EU-countries - study",Ekki hatursorðræða
Hlýtur að vera góð tilbreyting frá þingstörfum.,Ekki hatursorðræða
"
Búsáhaldabyltingin var byrjunin og er farin að sýna árangur.
Viðhorf fólks til beinna aðgerða hefur breyst, vanhæfir fulltrúar vinnuveitenda og launaþega eru sendir í skammakrókinn, ekki lengur respekt og hlýðni.
Mér þætti ekki ólíklegt að búsáhaldabyltingin eigi eftir að marka tímamót í sögu þjóðarinnar.
Valdhafar verða að hlusta og &#132;deliver&#147;.
",Ekki hatursorðræða
"Ólína.  Fréttamenn á RÚV eru með á milli 300 og 400 þúsund kall á mánuði. Eftir ohf-væðinguna eru einstaka gæðingar og þá sérstaklega sjónvarpsmegin með tvöfalda og allt að þrefalda þá upphæð. En nú er fordæmi fyrir því að spyrja um laun þess sem yfirheyrði Ólaf F. - Búið að kveða upp dóm um að upplýsingalögin virka. - Ef þetta sem þú vitnar til var á RÚV, ég man það ekki.",Ekki hatursorðræða
"
Þú hefur nú með þessari bloggfærslu sannað svo eftirminnilega það sem ég var að fullyrð, þú ert ekki fræðimaður, heldur málpípa fyrir öfgasamtök útí bæ.  Það sést líka vel á þeim sem taka undir með þér, hatursfullt öfgalið.  Merkilegt að þú skulir vera að barma þér undan minni ókurteis, en þakkar svo meðhlægjendum fyrir að kalla mig öllum illum nöfnum.  Greinilegt að þú ferð í manngreinarálit hverjum leifist dónaskapur og hverjum ekki, einkennandi fyrir þig og þinn ""fræðimannsferil"".
Það sem ég var að segja var að til þess að þessi mál komist á ræðanlegt  plan þarf að fá fólk með eðlilegar og vitrænar skoðanir, ekki fólk eins og þig og þína meðhlægjendur, fólk sem gangist upp í því að leika fórnarlambi.  Þú auðvitað, að hætti hins hefðbundna feminista, hleypur í felur frá umræðuefninu og ákveður að leika fórnarlambið.  Auðvitað ertu ekki fræðimaður heldur málpípa, og svona bara til þess að valda þér verulegum vonbrigðu og þessum aumingjum sem hafa verið að gjamma með þér, þá var aldrei meiningin að ""fjarlægja"" þig.
Umræðan þarf fólk með fullu viti, ekki svona úrgang og dusilmenni eins og þessa meðhlægjendur þína.",Hatursorðræða
"
Ég held að sam og trans fólkið hafi mestar mætur á því að börnin vaxi og þroskist, og verði eins og þeir.
Þegar þú býrð í samfélagi eða borg þar sem allir eru eins og þú, líður þér betur ekki satt ?",Hatursorðræða
"Dagblaðið er sjálfsagt ekki verri bleðill en aðrir fréttamiðlar á Íslandi. Það sem mig vantar að vita, eru upplýsingar um: Sá sem er í aðalhlutverki ""lekamálsins"" er hann barnsfaðir stúlkunar? Af hverju er Hanna Birna hundelt af Dagblaðinu? Ég viðurkenni að ég hef aldrei kosið Sjálfstæðisflokkinn. En sú umfjöllun sem Hanna Birna hefur fengið í DV. gerir það að verkun að ég virkilega hugsa mig um. Hvort ég eigi ekki að gera það næst þegar kosið verður.
Hanna Birna er mjög dugleg og ákveðin stjórnmálamaður og ég virkilega vona að hún verði duglegri en margar hennar kynsystur í stjórnmálum, því að þær eru okkur ""konum"" til niðurlægingar.
kv.",Hatursorðræða
"
Þú hefur nú með þessari bloggfærslu sannað svo eftirminnilega það sem ég var að fullyrð, þú ert ekki fræðimaður, heldur málpípa fyrir öfgasamtök útí bæ.  Það sést líka vel á þeim sem taka undir með þér, hatursfullt öfgalið.  Merkilegt að þú skulir vera að barma þér undan minni ókurteis, en þakkar svo meðhlægjendum fyrir að kalla mig öllum illum nöfnum.  Greinilegt að þú ferð í manngreinarálit hverjum leifist dónaskapur og hverjum ekki, einkennandi fyrir þig og þinn ""fræðimannsferil"".
Það sem ég var að segja var að til þess að þessi mál komist á ræðanlegt  plan þarf að fá fólk með eðlilegar og vitrænar skoðanir, ekki fólk eins og þig og þína meðhlægjendur, fólk sem gangist upp í því að leika fórnarlambi.  Þú auðvitað, að hætti hins hefðbundna feminista, hleypur í felur frá umræðuefninu og ákveður að leika fórnarlambið.  Auðvitað ertu ekki fræðimaður heldur málpípa, og svona bara til þess að valda þér verulegum vonbrigðu og þessum aumingjum sem hafa verið að gjamma með þér, þá var aldrei meiningin að ""fjarlægja"" þig.
Umræðan þarf fólk með fullu viti, ekki svona úrgang og dusilmenni eins og þessa meðhlægjendur þína.",Hatursorðræða
"JVJ veit ekki hvað virðing er.. hann er td alltaf að brjóta boðorð þegar hann talar við mig.Hann náttúrulega fer eftir fyrirmyndinni, páfanum sem á að vera óskeikull... Skoðum boðorð númer 2.. og spáið þið svo í hvort krissarnir séu að halda boðorðin""Þú skalt engar líkneskjur gjöra þér né nokkrar myndir eftir því, sem er á himnum uppi, eður því, sem er á jörðu niðri, eður því, sem er í vötnunum undir jörðinni. Þú skalt ekki tilbiðja þær og ekki dýrka þær, því að ég, Drottinn Guð þinn, er vandlátur Guð, sem vitja misgjörða feðranna á börnunum, já í þriðja og fjórða lið, þeirra sem mig hata, en auðsýni miskunn þúsundum, þeirra sem elska mig og varðveita boðorð mín.Þarna er það alveg ljóst að kristnar kirkjur eru algerlega á skjön við það sem Guddi vill... og einnig kemur fram að Guddi er alveg rosalega leiðinlegur og hefnigjarn..karl anginn hefur kannski átt erfiða æsku ;)",Hatursorðræða
