id,utterance,label
35,"Eitt enn, þessi mac kemur EKKI með restore diskum og ég er ekki viss um hvort þú getir gert þá beint úr mac eins og þú getur með nýrri tölvum, einnig eru hleðslusnúrurnar úr sama ódýra efni og iPhone/iPod touch snúrur.",'negative'
417,"Tvær kvartanir - forréttaúrvalið þeirra lyktar, það væri gaman að fá mozzarellastangir á matseðilinn.",'negative'
32,Við ræsingu spyr það endalausra spurninga bara svo itune geti selt þér meira af vörum sínum.,'negative'
407,"Herbergið er svolítið látlaust, en það er erfitt að gera svona lítinn stað spennandi og ég myndi ekki stinga upp á því sem ástæðu til að fara ekki.",'negative'
226,"Þegar kom að því að taka við pöntuninni gaf þjónninn okkur erfitt fyrir, gekk í burtu og kom svo aftur með blað og penna fyrir okkur til að skrifa niður hvað við vildum...afsakið en er það ekki hans verk???",'negative'
419,"Andrúmsloftið tekur þig á þann stað, staðinn sem marga dreymir um.",'positive'
356,ÉG HEF ALDREI FAÐIÐ SLEGA MÁLT(EÐA SLEGA ÞJÓNUSTA)@ PIGALLE.,'positive'
185,"Fínt rými, svo framarlega sem það verður ekki of fjölmennt og einhuga alúð við matargerðina sem hún hefur valið gera Mare að frábæru vali fyrir sjávarfangsunnendur.",'positive'
294,Fáðu þér mojito og sestu á bakgarðinum.,'positive'
432,Ég hlakka til að fara aftur fljótlega og á endanum prófa flest allt á matseðlinum!,'positive'
141,"Settu SSD og notaðu 21&quot; LED skjá, þessi uppsetning er silkimjúk!",'neutral'
206,Við byrjuðum á hörpuskel og aspas og fengum líka mjúkskeljakrabbann sem og ostadiskinn.,'neutral'
2,Enginn uppsetningardiskur (DVD) fylgir með.,'neutral'
130,"Önnur tengi eru FireWire 800, Gigabit Ethernet, MagSafe tengi, hljóðnematengi.",'neutral'
314,"Það var gott, en ekkert af bragðunum WOW.",'neutral'
