s40-000001	Þeytið eggin og hrærið þeim saman við.	t021153	þeytið eggin og hrærið þeim saman við
s40-000002	Bæði dálítið feimin á svipinn með rauða bolla í höndunum og fyrir ofan þau lítill strákur á flugi.	t001455	bæði dálítið feimin á svipinn með rauða bolla í höndunum og fyrir ofan þau lítill strákur á flugi
s40-000004	Velviljaðir klerkar vildu skiljanlega lítið af þessu athæfi vita.	t016186	velviljaðir klerkar vildu skiljanlega lítið af þessu athæfi vita
s40-000005	Samt var gólfið betra en nokkur sófi eða stóll.	t013496	samt var gólfið betra en nokkur sófi eða stóll
s40-000006	Þar verða englar og aðrar fígúrur á flugi um sýningarsalinn og margt fleira.	t019468	þar verða englar og aðrar fígúrur á flugi um sýningarsalinn og margt fleira
s40-000007	Með vinsemd og virðingu og góðri von um svör.	t010963	með vinsemd og virðingu og góðri von um svör
s40-000008	Maðurinn fór því með steininn að rótum aldintrés.	t010610	maðurinn fór því með steininn að rótum aldintrés
s40-000009	Óttinn við hið óþekkta er þekkt fyrirbæri.	t012809	óttinn við hið óþekkta er þekkt fyrirbæri
s40-000010	Steikið á heitri pönnu, setjið í stóran leirpott.	t014482	steikið á heitri pönnu setjið í stóran leirpott
s40-000011	Þú varst svo falleg og það var svo mikill friður yfir þér.	t021523	þú varst svo falleg og það var svo mikill friður yfir þér
s40-000012	Þessi tvö lið eru einnig í efstu tveimur sætum deildarinnar nú þegar mótið er hálfnað.	t020466	þessi tvö lið eru einnig í efstu tveimur sætum deildarinnar nú þegar mótið er hálfnað
s40-000013	Atvinna og framleiðsla eru undirstaða allra framfara, samneyslu og einkaneyslu.	t001247	atvinna og framleiðsla eru undirstaða allra framfara samneyslu og einkaneyslu
s40-000014	Ástandið á vinnumarkaði er metið samkvæmt samræmdum viðmiðunum að fengnu áliti ráðgjafanefndarinnar.	t001141	ástandið á vinnumarkaði er metið samkvæmt samræmdum viðmiðunum að fengnu áliti ráðgjafanefndarinnar
s40-000015	Höfundur er menningarfulltrúi kínverska sendiráðsins.	t007812	höfundur er menningarfulltrúi kínverska sendiráðsins
s40-000016	Þeim fer nú ört fjölgandi sem spyrja í hverra þágu þessi ríkisstjórn starfi.	t020017	þeim fer nú ört fjölgandi sem spyrja í hverra þágu þessi ríkisstjórn starfi
s40-000017	Bjarni Arngrímsson fer lofsamlegum orðum um hvannarót og af þeirri ástríðu að hann er varla að skrifa upp eftir öðrum.	t001665	bjarni arngrímsson fer lofsamlegum orðum um hvannarót og af þeirri ástríðu að hann er varla að skrifa upp eftir öðrum
s40-000018	En vitaskuld sannar það ekkert um hvernig til tókst.	t004681	en vitaskuld sannar það ekkert um hvernig til tókst
s40-000019	Þó held ég að sjaldan á seinni árum hafi efnahagshorfur verið svo óráðnar sem nú.	t021229	þó held ég að sjaldan á seinni árum hafi efnahagshorfur verið svo óráðnar sem nú
