utterance,label
"Sítrónukjúklingurinn smakkaði eins og límandi sætur kleinuhringur og hunangshnetu rækjurnar, þær fáu sem þau gáfu þér voru ekki góðar.","[('sítrónukjúklingurinn', 'negative'), ('hunangshnetu rækjurnar', 'negative')]"
"Staðurinn er búinn að versna verulega eftir að hafa birst á 'food TV Dinners, Drive-In and Dives' með Guy Fieri.","[('staðurinn', 'negative')]"
"Til að byrja með, um 8-10 oz af appelsínusafa mun kosta þig $ 3.","[('appelsínusafa', 'negative')]"
"Við erum staðbundin og fáum á tilfinninguna að eina leiðin sem þessi staður lifir af með svona meðalgóðan mat er vegna þess að flestir viðskiptavinir eru líklega ferðamenn.","[('staður', 'negative'), ('mat', 'negative')]"
"það er erfitt að fá sæti þegar maður er ósýnilegur fyrir starfsfólki.","[('starfsfólki', 'negative')]"
"Andrúmsloftið var bara í lagi.","[('andrúmsloftið', 'neutral')]"
"Í besta falli var maturinn góður og pottþétt of dýr.","[('maturinn', 'neutral')]"
"Maturinn er í lagi en dálítið dýr fyrir það sem þú færð þar sem veitingastaðurinn er ekki glæsilegur staður.","[('maturinn', 'neutral'), ('veitingastaðurinn', 'negative')]"
"Venjulegi matseðilinn hér er örlítið yfir meðaltali sem er ekki virði þess snotty viðhorfs sem þú færð.","[('venjulegi matseðilinn', 'neutral')]"
"Skammtarnir eru stórir, svo ekki panta of mikið.","[('skammtarnir', 'neutral')]"
"Mioposto er með mjög skapandi og ljúffengan pizzumatseðil.","[('pizzumatseðil', 'positive')]"
"Starfsfólkið er mjög vingjarnlegt.","[('starfsfólkið', 'positive')]"
"Líbanonskur matur! Namm!","[('líbanonskur matur', 'positive')]"
"'rey's er eins og stofnun í Seattle, en miðað við dásamlegt útsýni yfir Sound, hafði ég grunað að viðurkenningarnar væru meira vegna landslagsins en matinn og þjónustan.'","[('útsýni', 'positive')]"
"Gott úrval af sake.","[('úrval af sake', 'positive')]"
