s38-000001	Þrotabú Kaupþings í Lúxemborg tók snekkjuna upp í skuld í fyrra.	t021401	þrotabú kaupþings í lúxemborg tók snekkjuna upp í skuld í fyrra
s38-000002	Er þetta fólk þá líka popúlistar?	t005065	er þetta fólk þá líka popúlistar
s38-000003	Sum partí voru meira kósí en önnur.	t014762	sum partí voru meira kósí en önnur
s38-000004	Pugliese, sagði De Luca, þú veist það.	t012953	pugliese sagði de luca þú veist það
s38-000005	Stangveiði í vötnum sunnan Tungnár hefur verið góð seinni part sumars.	t014444	stangveiði í vötnum sunnan tungnár hefur verið góð seinni part sumars
s38-000006	Arne ólst upp í Þýskalandi en talar einnig norsku og íslensku.	t000991	arne ólst upp í þýskalandi en talar einnig norsku og íslensku
s38-000007	Te veskú eins og skot.	t015230	te veskú eins og skot
s38-000009	Það er því mikilvægt, að olíuinnkaup séu sem hagkvæmust.	t017826	það er því mikilvægt að olíuinnkaup séu sem hagkvæmust
s38-000011	Ég hnýtti á hann hnút.	t002888	ég hnýtti á hann hnút
s38-000012	Bæði eru þau þaulvant fjallgöngufólk.	t001459	bæði eru þau þaulvant fjallgöngufólk
s38-000013	Thomas fór á bílnum um klukkustund eftir að Nikolaj fór um borð í skipið.	t015245	thomas fór á bílnum um klukkustund eftir að nikolaj fór um borð í skipið
s38-000014	Tanya segir að svo þurfi ekki að vera.	t015177	tanya segir að svo þurfi ekki að vera
s38-000015	En ég hnaut um eitt.	t004206	en ég hnaut um eitt
s38-000016	Það var snjöll úrlausn hjá prófessornum.	t018573	það var snjöll úrlausn hjá prófessornum
s38-000017	Hvaða próf muntu taka í haust?	t008541	hvaða próf muntu taka í haust
s38-000018	Enda sko, eigum við ekki að starfa undir, undir slíkri pressu inni í þingi.	t004169	enda sko eigum við ekki að starfa undir undir slíkri pressu inni í þingi
s38-000019	Paul standi fyrir úrkynjun og hnignun óvina hans.	t012888	paul standi fyrir úrkynjun og hnignun óvina hans
s38-000020	Hún hnusaði enn út í loftið.	t008189	hún hnusaði enn út í loftið
s38-000021	Þá var hann með stórt fjárbú, kýr, hross og hænur.	t019781	þá var hann með stórt fjárbú kýr hross og hænur
s38-000022	Þar hefði einnig verið stúlka að nafni Tanya.	t019248	þar hefði einnig verið stúlka að nafni tanya
s38-000023	Að auki hafa aðföng í bókaútgáfu orðið dýrari.	t000057	að auki hafa aðföng í bókaútgáfu orðið dýrari
s38-000024	Öll börn hljóta sköpunargáfu í vöggugjöf.	t012641	öll börn hljóta sköpunargáfu í vöggugjöf
s38-000025	Kólera breiðist nú hratt út á Haíti.	t009997	kólera breiðist nú hratt út á haíti
s38-000026	Í þriðja sæti er Rand Paul.	t009491	í þriðja sæti er rand paul
s38-000027	Þetta er lífshlaup Jakobs í hnotskurn.	t020722	þetta er lífshlaup jakobs í hnotskurn
s38-000028	Vatnslaust er í hluta Garðabæjar eftir að leki kom að hitaveituæð nú síðdegis.	t016096	vatnslaust er í hluta garðabæjar eftir að leki kom að hitaveituæð nú síðdegis
s38-000029	Stúlkan var í öðru sæti í keppninni um Ungfrú England.	t014633	stúlkan var í öðru sæti í keppninni um ungfrú england
s38-000030	Jafnframt hefur Eygló óskað eftir utandagskrárumræðu um málið við Gylfa Magnússon, viðskiptaráðherra.	t009548	jafnframt hefur eygló óskað eftir utandagskrárumræðu um málið við gylfa magnússon viðskiptaráðherra
s38-000031	En Gunnar Jökull fékk hræðilegan geðsjúkdóm.	t004327	en gunnar jökull fékk hræðilegan geðsjúkdóm
s38-000032	Þær úða í sig furu jafnt sem greni og þin.	t018830	þær úða í sig furu jafnt sem greni og þin
s38-000033	Í stað þess að minnka ofhitnun og koma á jafnvægi ofkælist öll plánetan.	t009391	í stað þess að minnka ofhitnun og koma á jafnvægi ofkælist öll plánetan
s38-000034	Grjóthólar læðast hjá, aldurhnignir útverðir gamalla hrauna.	t006020	grjóthólar læðast hjá aldurhnignir útverðir gamalla hrauna
s38-000035	Frægir eru dýrlingar sem gripu til örþrifaráða gegn kynhvötinni.	t005542	frægir eru dýrlingar sem gripu til örþrifaráða gegn kynhvötinni
s38-000036	Niðurlag pistils hennar er svohljóðandi.	t011739	niðurlag pistils hennar er svohljóðandi
s38-000037	Á þessu er svo hnykkt í nál.	t001409	á þessu er svo hnykkt í nál
s38-000038	Skóg kaldra verksmiðjustrompa ber við djúpbláan himin.	t014141	skóg kaldra verksmiðjustrompa ber við djúpbláan himin
s38-000039	Önnur rök í frumvarpinu eru svohljóðandi.	t012706	önnur rök í frumvarpinu eru svohljóðandi
s38-000040	Þegar þau keyptu húsin voru þau tóm.	t020002	þegar þau keyptu húsin voru þau tóm
s38-000041	Það er tabú í þeirra augum.	t017651	það er tabú í þeirra augum
s38-000042	Bjössi vældi enn meir og hjúfraði sig ofan í sængina.	t001714	bjössi vældi enn meir og hjúfraði sig ofan í sængina
s38-000043	Af því Kósóvó þarfnast þess, sérstaklega núna.	t000489	af því kósóvó þarfnast þess sérstaklega núna
s38-000044	Sko hvernig er rotþróin þegar þú kaupir hana?	t014143	sko hvernig er rotþróin þegar þú kaupir hana
s38-000045	Ályktunin í heild er svohljóðandi.	t000795	ályktunin í heild er svohljóðandi
s38-000046	Svo upplýsi ég hann um hrikalegt, ótrúlegt hráefnið.	t015081	svo upplýsi ég hann um hrikalegt ótrúlegt hráefnið
s38-000047	Tvö ung börn voru meðal hinna föllnu.	t015622	tvö ung börn voru meðal hinna föllnu
s38-000048	Þú hræðir mig ekki svo þú skalt færa þig.	t021467	þú hræðir mig ekki svo þú skalt færa þig
s38-000049	Skömmin er stór hluti af afhjúpuninni og uppgjöri við fortíðina.	t014155	skömmin er stór hluti af afhjúpuninni og uppgjöri við fortíðina
s38-000050	Helvítis andvökunæturnar og innantómt hjalið.	t007319	helvítis andvökunæturnar og innantómt hjalið
s38-000051	Við verðum að efla löghlýðni.	t016676	við verðum að efla löghlýðni
s38-000052	Minkabúin héngu alla tíð á horriminni rekstrarlega séð.	t011338	minkabúin héngu alla tíð á horriminni rekstrarlega séð
s38-000053	Þessi kafli er úr ályktun Alkirkjuráðsins.	t020377	þessi kafli er úr ályktun alkirkjuráðsins
s38-000054	Höfuðið var hnöttótt, hárstæðið þakið ljósum hýjungi.	t007807	höfuðið var hnöttótt hárstæðið þakið ljósum hýjungi
s38-000055	Ryþminn lék undir sem ekki heyrist oft í trommusólóum.	t013262	ryþminn lék undir sem ekki heyrist oft í trommusólóum
s38-000056	Aþena er augljóslega að rétta úr kútnum.	t001404	aþena er augljóslega að rétta úr kútnum
s38-000057	Það er allt öðruvísi tempó hérna á Íslandi.	t017161	það er allt öðruvísi tempó hérna á íslandi
s38-000058	Þetta er glúrinn pistill hjá Árna Snævarr.	t020686	þetta er glúrinn pistill hjá árna snævarr
s38-000059	Fólk flúði þá heimili sín af ótta við að þau hryndu.	t005443	fólk flúði þá heimili sín af ótta við að þau hryndu
s38-000060	Þessi mál, bæði tvö, ætti að afgreiða samhliða á Alþingi.	t020391	þessi mál bæði tvö ætti að afgreiða samhliða á alþingi
s38-000061	Hún réðst að honum með hnúum og hnefum.	t008276	hún réðst að honum með hnúum og hnefum
s38-000062	Römm er sú taug, er rekka dregur föðurtúna til.	t013233	römm er sú taug er rekka dregur föðurtúna til
s38-000063	Kollhnísar þykja góð æfing til að auka jafnvægi og samhæfingu.	t009998	kollhnísar þykja góð æfing til að auka jafnvægi og samhæfingu
s38-000064	Og svo koll af kolli.	t012391	og svo koll af kolli
s38-000065	Það taka þjóðernissinnar ekki í mál, heldur segja Kósóvó órjúfanlegan hluta Serbíu.	t018320	það taka þjóðernissinnar ekki í mál heldur segja kósóvó órjúfanlegan hluta serbíu
s38-000066	Össur Skarphéðinsson hlær mikið að þessu.	t012787	össur skarphéðinsson hlær mikið að þessu
s38-000067	Borist hefur annað bréf svohljóðandi.	t001793	borist hefur annað bréf svohljóðandi
s38-000068	Það var ein mjög slæm tækling hjá Gylfa.	t018434	það var ein mjög slæm tækling hjá gylfa
